"country","a5 IV unweighted(threshold 1e-06)","a5 IV weighted by p31(threshold 1e-06)","a5 IV weighted by distance(threshold 1e-06)","a5 IV weighted by distance and p31(threshold 1e-06)","a5 IV unweighted(threshold 50)","a5 IV weighted by p31(threshold 50)","a5 IV weighted by distance(threshold 50)","a5 IV weighted by distance and p31(threshold 50)","a5 IV unweighted(threshold 100)","a5 IV weighted by p31(threshold 100)","a5 IV weighted by distance(threshold 100)","a5 IV weighted by distance and p31(threshold 100)"
"Moldova",1.65356687708333,1.65736373215456,1.65356687708333,1.65736373215456,1.65356687708333,1.65736373215456,1.65356687708333,1.65736373215456,1.65356687708333,1.65736373215456,1.65356687708333,1.65736373215456
"Mongolia",1.9984737635,1.64165381608163,1.9984737635,1.64165381608163,1.9984737635,1.64165381608163,1.9984737635,1.64165381608163,1.9984737635,1.64165381608163,1.9984737635,1.64165381608163
"Morocco",,,,,2.2080672504,1.80533771022495,2.2080672504,1.80533771022495,2.2080672504,1.80533771022495,2.2080672504,1.80533771022495
"Mozambique",1.50902684797778,1.52385308078355,1.50902684797778,1.52385308078355,1.50902684797778,1.52385308078355,1.50902684797778,1.52385308078355,1.50902684797778,1.52385308078355,1.50902684797778,1.52385308078355
"Namibia",1.75731211233333,1.64958860271042,1.75731211233333,1.64958860271042,1.72298654115,1.63603941234914,1.65200978348873,1.48499032266748,1.72298654115,1.63603941234914,1.69026394772045,1.48499032266748
"Netherlands",2.16778970535119,2.25819747750896,2.16778970535119,2.25819747750896,2.16778970535119,2.25819747750896,2.16778970535119,2.25819747750896,2.17332196180556,2.23581148458176,2.17073881342986,2.25813849686657
"New Zealand",,,,,,,,,,,,
"Nicaragua",1.949209809375,1.99354814770408,1.949209809375,1.99354814770408,1.70363986491667,1.71496663491452,1.86846914920315,1.9924438747807,1.70363986491667,1.71496663491452,1.77421226212629,1.9924438747807
"Niger",2.09775666391111,2.03563916533256,2.09775666391111,2.03563916533256,2.09775666391111,2.03563916533256,2.09775666391111,2.03563916533256,2.09775666391111,2.03563916533256,2.09775666391111,2.03563916533256
"Nigeria",2.0782142877,2.00926077871965,2.0782142877,2.00926077871965,2.0782142877,2.00926077871965,2.0782142877,2.00926077871965,2.0782142877,2.00926077871965,2.0782142877,2.00926077871965
"Norway",2.16528429095833,2.06252788482609,2.16528422949501,2.06252788482453,2.16528429095833,2.06252788482609,2.16528429095833,2.06252788482453,2.16528429095833,2.06252788482609,2.16528429095833,2.06252788482453
